,Feature,importance
1634,Class,0.6222765667322525
333,C1SP2,0.008455031409155078
322,SpMin2_Bhe,0.007021429057490398
1321,LOBMAX,0.005240169017329623
585,SaaCH,0.00514793570828147
1059,R_TpiPCTPC,0.004786301314870824
903,gmin,0.004204286622105148
1204,TDB2u,0.004084036778685628
1555,Du,0.0036153607792665144
1322,LOBMIN,0.0033850291730841645
1253,TDB1i,0.003260767292833562
1149,JGI3,0.002850794371373479
1052,piPC5,0.0027358710042872407
1234,TDB2e,0.002710718850163777
1562,E2m,0.0022162231517234244
330,SpMin2_Bhs,0.002131585132096655
1332,geomShape,0.002122725984768607
1203,TDB1u,0.0020905671005667643
1374,RDF65m,0.0020865227527244266
141,AATSC4m,0.0020414066685869917
988,BIC1,0.0017706620489996074
320,SpMin1_Bhv,0.0017348474861956806
1395,RDF20v,0.0016067453627722622
232,GATS4v,0.0015891033755174749
902,hmin,0.001541297569898866
1255,TDB3i,0.001460625062989953
94,ATSC7v,0.0014543892021822633
417,VE3_Dt,0.0013962699207602336
60,AATS8i,0.0013604416292666256
823,maxaaCH,0.0013319257948205916
1620,Di,0.0012457417323876855
1252,TDB10p,0.0012209724584772898
86,ATSC7m,0.0012200098496314958
1615,E3i,0.001201105851801714
1286,PNSA-1,0.0011788659255138451
1563,E3m,0.001151959504531996
566,SHaaCH,0.0011297187737007058
1264,TDB2s,0.0011102085424065133
1575,E2v,0.0011044928701808548
306,SpMax3_Bhm,0.0010925410651993332
349,VCH-7,0.001091657961815351
298,BCUTp-1h,0.0010910120832067138
408,CrippenLogP,0.0010752327085935599
1568,Dm,0.0010674409648348182
1208,TDB6u,0.0010556059402776117
571,SHother,0.001033682641355682
1589,E3e,0.0010260587054853171
58,AATS6i,0.0010242654984998789
220,GATS8c,0.0010188741359082956
1233,TDB1e,0.001011007657687002
210,MATS6s,0.0009992610764320323
1150,JGI4,0.0009923777036724263
1561,E1m,0.0009834651638058142
1384,RDF115m,0.0009800584739928803
1576,E3v,0.0009730167882338618
1455,RDF20p,0.0009617940371972035
231,GATS3v,0.0009505052674509962
1633,Ds,0.000948122271951746
1205,TDB3u,0.0009433617358386546
1254,TDB2i,0.0009418660075802189
1292,FPSA-1,0.00092890207503425
193,MATS4m,0.0009166314471223453
42,AATS8e,0.0009161620711736835
1285,PPSA-3,0.0009085294521931427
1307,RNCS,0.0008999940245177705
309,SpMin1_Bhm,0.0008950881704951738
1257,TDB5i,0.0008839888604223959
175,AATSC7i,0.0008832796669481057
172,AATSC4i,0.0008796715397574477
939,ETA_BetaP_ns_d,0.0008720298710066248
242,GATS6e,0.000871024283164174
1198,WTPT-5,0.0008629815759446327
317,SpMax2_Bhv,0.0008607246268922404
376,ASP-4,0.000854494108576814
115,ATSC2i,0.0008541071808732824
240,GATS4e,0.0008490637952660268
161,AATSC0p,0.0008423257884498744
989,BIC2,0.0008225993523387694
101,ATSC5e,0.0008214944664054866
226,GATS6m,0.0008151637385811958
34,AATS7v,0.0008138024354016145
324,SpMax2_Bhs,0.0008087678563566791
83,ATSC4m,0.0008064284499940153
216,GATS4c,0.0008047076035501943
149,AATSC3v,0.0007952418600476415
1058,TpiPC,0.000792062324270645
928,ETA_Shape_Y,0.0007886659075868705
716,minssNH,0.0007762361771193279
1195,WTPT-2,0.0007655991132005063
1260,TDB8i,0.0007630927302914923
127,ATSC5s,0.0007547513171158708
244,GATS8e,0.0007528868280904744
1294,FPSA-3,0.0007446388592360329
1516,RDF25s,0.0007415897393435071
212,MATS8s,0.0007351468261297904
1210,TDB8u,0.0007316287052239593
72,ATSC2c,0.0007308524648656097
150,AATSC4v,0.0007303873593311984
223,GATS3m,0.0007283586876406423
1377,RDF80m,0.0007210018309987441
151,AATSC5v,0.0007160032050457798
415,VE1_Dt,0.0007159546082451922
190,MATS8c,0.0007118671008092192
1258,TDB6i,0.0007102689000565577
1306,RPCS,0.0006958679209786048
225,GATS5m,0.0006953523846424703
200,MATS6e,0.0006950470109078101
318,SpMax3_Bhv,0.0006928759078686399
153,AATSC7v,0.000687312008538239
964,IC1,0.0006872931659331846
1055,piPC8,0.0006770224631548026
321,SpMin2_Bhv,0.0006748110544577091
1288,PNSA-3,0.0006747369216603727
721,minaaN,0.0006699969395803423
257,GATS5i,0.0006667568266621777
1628,E3s,0.0006548849503560944
955,fragC,0.000654734326600221
900,hmax,0.0006541520210983767
1417,RDF130v,0.00064977807174269
296,BCUTc-1h,0.0006495253236865529
1211,TDB9u,0.0006490711312258124
183,MATS1c,0.0006489401349721571
99,ATSC3e,0.0006441401108374012
228,GATS8m,0.0006370073448842739
1527,RDF80s,0.0006363484241258932
1614,E2i,0.0006324825746957486
316,SpMax1_Bhv,0.0006312693143175758
660,minHBd,0.0006297703482443047
261,GATS1s,0.000627628482464629
348,VCH-6,0.0006226734397887479
304,SpMax1_Bhm,0.0006099727006220739
258,GATS6i,0.0006096420070331706
290,VR1_Dzs,0.0006064751861889123
241,GATS5e,0.0006039863190879273
260,GATS8i,0.0006031464982506705
250,GATS6p,0.0006025528313637162
246,GATS2p,0.0006004421646540137
