,0
0,MW
1,AMW
2,Sv
3,Mv
4,Me
5,Mp
6,Mi
7,GD
8,nTA
9,nBM
10,RBN
11,RBF
12,nDB
13,nAB
14,nN
15,nO
16,nF
17,nCL
18,nHM
19,nHet
20,nX
21,H%
22,C%
23,N%
24,O%
25,nCsp3
26,nCsp2
27,nCIC
28,nCIR
29,Rbrid
30,MCD
31,RFD
32,RCI
33,NRS
34,NNRS
35,nR05
36,nR06
37,nR09
38,nR10
39,nBnz
40,ARR
41,D/Dtr05
42,D/Dtr06
43,D/Dtr09
44,D/Dtr10
45,D/Dtr11
46,ZM1V
47,ZM1Mad
48,Qindex
49,DBI
50,HNar
51,Xt
52,Ram
53,BLI
54,MSD
55,SPI
56,PJI2
57,CENT
58,ICR
59,Wap
60,PW2
61,PW3
62,PW4
63,PW5
64,MAXDN
65,MAXDP
66,DELS
67,TIE
68,Psi_i_A
69,Psi_i_t
70,Psi_i_0d
71,Psi_i_1d
72,BAC
73,LOC
74,SRW05
75,piID
76,PCR
77,PCD
78,X0A
79,X1A
80,X2A
81,X3A
82,X4A
83,X5A
84,X0Av
85,X3Av
86,AAC
87,IDDE
88,IVDE
89,Ges
90,rGes
91,Vindex
92,IC1
93,IC2
94,IC3
95,SIC0
96,SIC1
97,SIC2
98,SIC3
99,CIC0
100,CIC1
101,CIC2
102,CIC3
103,SpPosA_A
104,SpMax_A
105,VE1_A
106,VE2_A
107,VE1sign_A
108,VE2sign_A
109,VE3sign_A
110,VR2_A
111,Chi_D
112,ChiA_D
113,J_D
114,EE_D
115,VE2_D
116,VE1sign_D
117,VE2sign_D
118,VE3sign_D
119,VR2_D
120,SpMax_L
121,SpMAD_L
122,AVS_X
123,ChiA_X
124,SpPosA_X
125,SpDiam_X
126,SM5_X
127,VE1_X
128,VE2_X
129,VE1sign_X
130,VE2sign_X
131,VE3sign_X
132,ChiA_H2
133,SpPosA_H2
134,VE1_H2
135,VE3sign_H2
136,WiA_Dt
137,Chi_Dt
138,ChiA_Dt
139,J_Dt
140,EE_Dt
141,VE1sign_Dt
142,VE2sign_Dt
143,VE3sign_Dt
144,WiA_D/Dt
145,Chi_D/Dt
146,ChiA_D/Dt
147,J_D/Dt
148,VE1_D/Dt
149,VE2_D/Dt
150,VE1sign_D/Dt
151,VE2sign_D/Dt
152,VE3sign_D/Dt
153,VR2_D/Dt
154,SM1_Dz(Z)
155,VE1sign_Dz(Z)
156,VE2sign_Dz(Z)
157,VE3sign_Dz(Z)
158,Chi_Dz(v)
159,J_Dz(v)
160,HyWi_Dz(v)
161,SM1_Dz(v)
162,VE2_Dz(v)
163,VE1sign_Dz(v)
164,VE2sign_Dz(v)
165,VE3sign_Dz(v)
166,VR2_Dz(v)
167,SM1_Dz(e)
168,J_Dz(p)
169,EE_Dz(p)
170,SM1_Dz(p)
171,VE1sign_Dz(p)
172,VE2sign_Dz(p)
173,VE3sign_Dz(p)
174,SM1_Dz(i)
175,VE3sign_Dz(i)
176,AVS_B(m)
177,ChiA_B(m)
178,SpPosA_B(m)
179,SpMax_B(m)
180,SpMaxA_B(m)
181,SpMAD_B(m)
182,EE_B(m)
183,SM3_B(m)
184,VE1_B(m)
185,VE2_B(m)
186,VE1sign_B(m)
187,VE2sign_B(m)
188,VE3sign_B(m)
189,WiA_B(v)
190,AVS_B(v)
191,ChiA_B(v)
192,HyWi_B(v)
193,VE1_B(v)
194,VE2_B(v)
195,VE1sign_B(v)
196,VE2sign_B(v)
197,VE3sign_B(v)
198,AVS_B(e)
199,SpPosA_B(e)
200,SpMax_B(e)
201,SpDiam_B(e)
202,SpMAD_B(e)
203,VE1sign_B(e)
204,AVS_B(p)
205,ChiA_B(p)
206,SpPosA_B(p)
207,SpMax_B(p)
208,VE1_B(p)
209,VE1sign_B(p)
210,VE3sign_B(p)
211,SpPosA_B(i)
212,VE3sign_B(i)
213,ChiA_B(s)
214,HyWi_B(s)
215,SpMax_B(s)
216,SpMaxA_B(s)
217,EE_B(s)
218,VE1_B(s)
219,VE1sign_B(s)
220,VE2sign_B(s)
221,VE3sign_B(s)
222,ATS7s
223,ATSC1e
224,ATSC2e
225,ATSC3e
226,ATSC4e
227,ATSC5e
228,ATSC7e
229,ATSC8e
230,ATSC1s
231,ATSC3s
232,ATSC4s
233,MATS1m
234,MATS2m
235,MATS3m
236,MATS4m
237,MATS5m
238,MATS6m
239,MATS7m
240,MATS8m
241,MATS1v
242,MATS2v
243,MATS3v
244,MATS4v
245,MATS5v
246,MATS6v
247,MATS7v
248,MATS8v
249,MATS1e
250,MATS2e
251,MATS3e
252,MATS4e
253,MATS5e
254,MATS6e
255,MATS7e
256,MATS8e
257,MATS1p
258,MATS2p
259,MATS3p
260,MATS4p
261,MATS5p
262,MATS6p
263,MATS7p
264,MATS8p
265,MATS1i
266,MATS2i
267,MATS3i
268,MATS4i
269,MATS5i
270,MATS6i
271,MATS7i
272,MATS8i
273,MATS1s
274,MATS2s
275,MATS3s
276,MATS4s
277,MATS5s
278,MATS6s
279,MATS7s
280,MATS8s
281,GATS1m
282,GATS2m
283,GATS3m
284,GATS4m
285,GATS5m
286,GATS6m
287,GATS7m
288,GATS8m
289,GATS1v
290,GATS2v
291,GATS3v
292,GATS4v
293,GATS5v
294,GATS6v
295,GATS7v
296,GATS8v
297,GATS1e
298,GATS2e
299,GATS3e
300,GATS4e
301,GATS5e
302,GATS6e
303,GATS7e
304,GATS8e
305,GATS1p
306,GATS2p
307,GATS3p
308,GATS4p
309,GATS5p
310,GATS6p
311,GATS7p
312,GATS8p
313,GATS1i
314,GATS2i
315,GATS3i
316,GATS4i
317,GATS5i
318,GATS6i
319,GATS7i
320,GATS8i
321,GATS1s
322,GATS2s
323,GATS3s
324,GATS4s
325,GATS5s
326,GATS6s
327,GATS7s
328,GATS8s
329,GGI1
330,GGI2
331,GGI3
332,GGI4
333,GGI5
334,GGI6
335,GGI7
336,GGI8
337,GGI9
338,GGI10
339,JGI1
340,JGI2
341,JGI3
342,JGI4
343,JGI5
344,JGI6
345,JGI7
346,JGI8
347,JGI9
348,JGI10
349,JGT
350,SpMax2_Bh(m)
351,SpMax3_Bh(m)
352,SpMax4_Bh(m)
353,SpMax5_Bh(m)
354,SpMax1_Bh(e)
355,SpMax2_Bh(e)
356,SpMax3_Bh(e)
357,SpMax4_Bh(e)
358,SpMax1_Bh(p)
359,SpMax2_Bh(p)
360,SpMax2_Bh(s)
361,SpMax3_Bh(s)
362,SpMax4_Bh(s)
363,SpMax5_Bh(s)
364,SpMax6_Bh(s)
365,SpMax7_Bh(s)
366,SpMax8_Bh(s)
367,SpMin1_Bh(m)
368,SpMin2_Bh(m)
369,SpMin3_Bh(m)
370,SpMin4_Bh(m)
371,SpMin5_Bh(m)
372,SpMin6_Bh(m)
373,SpMin7_Bh(m)
374,SpMin4_Bh(v)
375,SpMin5_Bh(v)
376,SpMin1_Bh(e)
377,SpMin2_Bh(e)
378,SpMin3_Bh(e)
379,SpMin1_Bh(p)
380,SpMin2_Bh(p)
381,SpMin1_Bh(s)
382,SpMin2_Bh(s)
383,SpMin3_Bh(s)
384,SpMin6_Bh(s)
385,SpMin7_Bh(s)
386,SpMin8_Bh(s)
387,P_VSA_LogP_1
388,P_VSA_LogP_2
389,P_VSA_LogP_3
390,P_VSA_LogP_4
391,P_VSA_LogP_5
392,P_VSA_LogP_6
393,P_VSA_LogP_8
394,P_VSA_MR_2
395,P_VSA_MR_3
396,P_VSA_MR_5
397,P_VSA_MR_6
398,P_VSA_MR_7
399,P_VSA_MR_8
400,P_VSA_m_2
401,P_VSA_m_3
402,P_VSA_m_4
403,P_VSA_v_2
404,P_VSA_v_3
405,P_VSA_e_2
406,P_VSA_e_3
407,P_VSA_i_1
408,P_VSA_i_2
409,P_VSA_i_3
410,P_VSA_i_4
411,P_VSA_s_1
412,P_VSA_s_3
413,P_VSA_s_4
414,P_VSA_s_5
415,P_VSA_ppp_L
416,P_VSA_ppp_P
417,P_VSA_ppp_N
418,P_VSA_ppp_D
419,P_VSA_ppp_ar
420,P_VSA_ppp_con
421,P_VSA_ppp_hal
422,P_VSA_ppp_cyc
423,Eta_alpha_A
424,Eta_betaS_A
425,Eta_betaP_A
426,Eta_C_A
427,Eta_L_A
428,Eta_F_A
429,Eta_FL_A
430,Eta_B_A
431,Eta_sh_p
432,Eta_sh_y
433,Eta_sh_x
434,SpMAD_EA
435,SpMAD_EA(bo)
436,SpMax_EA(dm)
437,SpMaxA_EA(dm)
438,SpAD_EA(dm)
439,SpMAD_EA(dm)
440,SpMax_EA(ri)
441,SpMAD_EA(ri)
442,SpDiam_AEA(ed)
443,SpMAD_AEA(ed)
444,SpMax_AEA(bo)
445,SpDiam_AEA(bo)
446,SpMAD_AEA(bo)
447,SpMax_AEA(dm)
448,SpMaxA_AEA(dm)
449,SpMAD_AEA(dm)
450,Chi0_EA(dm)
451,Chi1_EA(dm)
452,SM03_EA(bo)
453,SM02_EA(dm)
454,SM03_EA(dm)
455,SM10_AEA(bo)
456,SM11_AEA(bo)
457,SM12_AEA(bo)
458,SM13_AEA(bo)
459,SM14_AEA(bo)
460,SM15_AEA(bo)
461,SM02_AEA(dm)
462,SM03_AEA(dm)
463,SM04_AEA(dm)
464,SM12_AEA(dm)
465,SM13_AEA(dm)
466,SM12_AEA(ri)
467,SM13_AEA(ri)
468,SM14_AEA(ri)
469,SM15_AEA(ri)
470,Eig06_EA(bo)
471,Eig02_EA(dm)
472,Eig03_EA(dm)
473,Eig04_EA(dm)
474,Eig05_EA(dm)
475,Eig06_EA(dm)
476,Eig07_EA(dm)
477,Eig08_EA(dm)
478,Eig09_EA(dm)
479,Eig10_EA(dm)
480,Eig11_EA(dm)
481,Eig12_EA(dm)
482,Eig13_EA(dm)
483,Eig14_EA(dm)
484,Eig15_EA(dm)
485,Eig02_EA(ri)
486,Eig02_AEA(bo)
487,Eig02_AEA(dm)
488,Eig03_AEA(dm)
489,Eig04_AEA(dm)
490,Eig05_AEA(dm)
491,Eig06_AEA(dm)
492,Eig07_AEA(dm)
493,Eig08_AEA(dm)
494,Eig09_AEA(dm)
495,nCp
496,nCs
497,nCt
498,nCrs
499,nCbH
500,nCb-
501,nCconj
502,nR=Cs
503,nR=Ct
504,nRCOOR
505,nRCONHR
506,nROH
507,nArOH
508,nOHs
509,nArOR
510,nArX
511,nHDon
512,C-005
513,C-006
514,C-008
515,C-016
516,C-024
517,C-025
518,C-026
519,C-028
520,C-034
521,C-040
522,H-046
523,H-047
524,H-051
525,H-052
526,H-053
527,O-056
528,O-058
529,O-060
530,N-072
531,N-075
532,Cl-089
533,SssCH2
534,SdsCH
535,SaaCH
536,SsssCH
537,SdssC
538,SaasC
539,SaaaC
540,SssssC
541,SssNH
542,SsssN
543,SdsN
544,StN
545,SddsN
546,SaasN
547,SaaNH
548,SsOH
549,SssO
550,SssS
551,SaaS
552,SddssS
553,NssCH2
554,NsssCH
555,NdssC
556,NaasC
557,CATS2D_03_DD
558,CATS2D_04_DD
559,CATS2D_06_DD
560,CATS2D_07_DD
561,CATS2D_08_DD
562,CATS2D_09_DD
563,CATS2D_02_DA
564,CATS2D_03_DA
565,CATS2D_04_DA
566,CATS2D_05_DA
567,CATS2D_06_DA
568,CATS2D_07_DA
569,CATS2D_08_DA
570,CATS2D_09_DA
571,CATS2D_05_DN
572,CATS2D_02_DL
573,CATS2D_03_DL
574,CATS2D_04_DL
575,CATS2D_05_DL
576,CATS2D_06_DL
577,CATS2D_07_DL
